"","gene","probe","T1","T2","T3","C1","C2","C3"
"1",1,1,168.68,83.05,103.02,137.08,165.92,112.41
"2",1,2,681.18,534.05,479.02,603.08,605.42,420.91
"3",1,3,989.18,809.35,717.02,851.08,981.42,724.91
"4",1,4,31.22,30.23,13.57,19.76,15.91,22.29
"5",1,5,227.18,255.05,114.02,237.08,193.42,136.41
"6",1,6,87.18,91.85,41.98,77.58,128.22,83.21
"7",1,7,1279.18,1279.05,959.32,1212.58,1188.22,818.91
"8",1,8,857.48,1175.05,868.52,759.38,798.42,770.91
"9",1,9,122.18,112.35,63.07,84.38,110.42,109.71
"10",1,10,43.18,34.12,22.32,41.59,35.74,40.71
"11",1,11,162.48,172.05,93.02,158.58,140.42,135.91
"12",2,1,250.68,228.05,168.82,195.38,213.72,195.41
"13",2,2,65.18,76.05,17.95,48.58,44.42,43.91
"14",2,3,459.98,417.35,394.82,427.08,374.42,500.91
"15",2,4,866.18,851.05,689.52,781.38,942.42,847.21
"16",2,5,12.15,16.18,11.26,10.15,57.22,5.7
"17",2,6,409.18,412.05,331.02,335.88,410.22,285.91
"18",2,7,120.68,182.05,121.02,125.08,103.42,138.91
"19",2,8,52.18,24.19,12.68,25.26,22.95,19.62
"20",2,9,329.18,275.35,244.02,236.88,248.72,251.91
"21",2,10,23.94,23.58,9.58,18.07,11.47,9.32
"22",2,11,1070.68,1116.05,757.02,943.08,798.42,657.71
"23",3,1,14.38,10.5,10.89,16.47,7.5,10.35
"24",3,2,25.17,18.07,9.16,10.15,29.83,10.6
"25",3,3,69.18,107.05,35.12,53.08,65.42,53.91
"26",3,4,71.98,90.05,21.89,51.58,59.42,54.91
"27",3,5,34.2,35.4,16.62,26.22,19.51,34.92
"28",3,6,90.48,143.05,48.45,65.38,75.42,61.21
"29",3,7,543.18,643.05,495.02,443.08,503.22,507.91
"30",3,8,1853.98,1972.85,1816.02,1653.08,1975.42,1599.91
"31",3,9,423.68,511.35,398.32,412.08,453.22,364.91
"32",3,10,83.68,83.05,27.31,69.08,112.42,73.21
"33",3,11,28.27,38.07,14.5,18.31,23.86,23.22
"34",4,1,136.18,170.05,100.32,125.88,122.42,69.21
"35",4,2,115.18,111.35,36.6,92.08,99.42,66.71
"36",4,3,5.8,6.56,7.51,5.49,8.13,8.11
"37",4,4,146.18,113.05,83.82,114.08,153.72,135.91
"38",4,5,20.74,22.88,11.26,15.71,19.75,8.18
"39",4,6,28.27,41.06,19.76,31.41,24.78,30.75
"40",4,7,205.18,281.05,225.02,219.58,232.72,258.91
"41",4,8,226.48,287.35,205.02,192.08,238.42,206.91
"42",4,9,14.38,17.71,11.04,16.47,17.15,10.1
"43",4,10,37.69,54.05,24.63,60.08,61.92,35.92
"44",4,11,33.2,24.64,11.72,15.71,19.51,17.53
"45",5,1,28.27,45.05,10.89,17.66,18.94,12.43
"46",5,2,4.53,6.1,8.66,5.71,6.93,4.49
"47",5,3,10.51,14.1,11.79,9.68,8.83,6.72
"48",5,4,12.75,16.31,10.78,9.68,12.54,14.87
"49",5,5,7.28,5.76,8.27,4.91,4.11,7.01
"50",5,6,5.86,10.17,8.62,9.23,11.99,4.7
"51",5,7,61.98,40.36,16.81,31.12,46.42,28.98
"52",5,8,787.18,729.55,503.02,637.08,607.42,442.91
"53",5,9,54.18,54.05,14.27,39.09,54.42,22.29
"54",5,10,1319.68,1235.35,869.52,1694.08,1374.42,1163.91
"55",5,11,21.64,40.06,14.82,26.03,16.63,25.39
"56",6,1,19.01,5.76,10.48,6.45,10.97,4.91
"57",6,2,15.31,13.7,11.15,13.59,15.7,25.1
"58",6,3,326.18,184.55,175.82,239.58,246.42,166.91
"59",6,4,4.46,6.34,7.22,6.88,6.43,4.57
"60",6,5,130.18,239.55,131.02,114.08,126.42,97.91
"61",6,6,220.48,244.05,204.02,216.08,202.42,218.41
"62",6,7,5.17,5.59,8.27,5.09,9.96,5.94
"63",6,8,13.91,16.65,9.13,19.76,10.05,8.77
"64",6,9,71.18,74.05,16.73,56.08,63.72,34.92
